"","trait_genetic_start","trait_genetic_end","trait","gene_ID","eQTL_chr","eQTL_genetic_start","eQTL_genetic_end","subject","AGI","At_symbol","trait_chrom","gene.chrom","gene.start","gene.end","B.napus_GO_term","GO_des"
"11",29,33,"Arachidic_acid","BnaA08g30050D","chrA08",33,33,"AT1G32550.2","AT1G32550"," 2Fe-2S ferredoxin-like superfamily protein ","chrA08","A08_random",1203181,1204850,"GO:0009055;GO:0022900;GO:0051536","electron carrier activity;electron transport chain;iron-sulfur cluster binding"
"12",29,33,"Arachidic_acid","BnaA08g30140D","chrA08",29,29,"AT4G14615.1","AT4G14615"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2346 (InterPro:IPR018625); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52825.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). ","chrA08","A08_random",1304148,1306628,NA,NA
"13",29,33,"Arachidic_acid","BnaA08g30310D","chrA08",31,31,"AT4G16610.1","AT4G16610"," C2H2-like zinc finger protein ","chrA08","A08_random",1399985,1400614,"GO:0008270","zinc ion binding"
"14",29,33,"Arachidic_acid","BnaA09g43980D","chrA08",31,31,"AT5G23630.1","AT5G23630"," phosphate deficiency response 2 ","chrA08","A09",30307854,30309442,NA,NA
"15",29,33,"Arachidic_acid","BnaA10g19970D","chrA08",29,29,"AT5G13320.1","AT5G13320"," Auxin-responsive GH3 family protein ","chrA08","A10",14038151,14041644,NA,NA
"16",29,33,"Arachidic_acid","BnaA10g23450D","chrA08",29,29,NA,NA,NA,"chrA08","A10",15492066,15492899,NA,NA
"17",29,33,"Arachidic_acid","BnaAnng11220D","chrA08",29,29,"AT1G30970.1","AT1G30970"," zinc finger (C2H2 type) family protein ","chrA08","Ann_random",12212823,12215603,"GO:0003677;GO:0005622;GO:0008270","DNA binding;intracellular;zinc ion binding"
"18",29,33,"Arachidic_acid","BnaAnng19130D","chrA08",32,32,"AT4G17330.1","AT4G17330"," G2484-1 protein ","chrA08","Ann_random",20494595,20497369,NA,NA
"19",29,33,"Arachidic_acid","BnaAnng27600D","chrA08",32,32,"AT4G16510.1","AT4G16510"," YbaK/aminoacyl-tRNA synthetase-associated domain ","chrA08","Ann_random",31524508,31526492,"GO:0002161","aminoacyl-tRNA editing activity"
"20",29,33,"Arachidic_acid","BnaAnng31880D","chrA08",29,29,"AT4G18700.1","AT4G18700"," CBL-interacting protein kinase 12 ","chrA08","Ann_random",36440985,36442424,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468;GO:0007165","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation;signal transduction"
"21",29,33,"Arachidic_acid","BnaAnng40280D","chrA08",31,31,"AT3G43790.3","AT3G43790"," zinc induced facilitator-like 2 ","chrA08","Ann_random",45985320,45986801,"GO:0016021;GO:0055085","integral component of membrane;transmembrane transport"
"22",29,33,"Arachidic_acid","BnaC01g15620D","chrA08",30,30,NA,NA,NA,"chrA08","C01",10732323,10732863,NA,NA
"23",29,33,"Arachidic_acid","BnaC03g46850D","chrA08",29,29,NA,NA,NA,"chrA08","C03",31810245,31812877,NA,NA
"24",29,33,"Arachidic_acid","BnaC03g55570D","chrA08",32,32,"AT4G14455.1","AT4G14455"," Target SNARE coiled-coil domain protein ","chrA08","C03",44560576,44561647,NA,NA
"25",29,33,"Arachidic_acid","BnaC03g62640D","chrA08",33,33,NA,NA,NA,"chrA08","C03",51761205,51761969,NA,NA
"26",29,33,"Arachidic_acid","BnaC04g17440D","chrA08",29,29,NA,NA,NA,"chrA08","C04",15708760,15709258,NA,NA
"27",29,33,"Arachidic_acid","BnaC04g23000D","chrA08",31,31,"AT3G59550.1","AT3G59550"," Rad21/Rec8-like family protein ","chrA08","C04",24050275,24058474,"GO:0000228;GO:0005515","nuclear chromosome;protein binding"
"28",29,33,"Arachidic_acid","BnaC05g39990D","chrA08",31,31,"AT3G13380.1","AT3G13380"," BRI1-like 3 ","chrA08","C05",38315115,38319071,"GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;protein binding;ATP binding;protein phosphorylation"
"29",29,33,"Arachidic_acid","BnaC07g35930D","chrA08",31,31,"AT4G19510.1","AT4G19510"," Disease resistance protein (TIR-NBS-LRR class) ","chrA08","C07",38206276,38212406,"GO:0005515;GO:0006952;GO:0007165;GO:0043531","protein binding;defense response;signal transduction;ADP binding"
"30",29,33,"Arachidic_acid","BnaC08g11070D","chrA08",32,32,"AT4G17870.1","AT4G17870"," Polyketide cyclase/dehydrase and lipid transport superfamily protein ","chrA08","C08",16446008,16446877,NA,NA
"31",29,33,"Arachidic_acid","BnaC08g46160D","chrA08",29,29,"AT1G42540.1","AT1G42540"," glutamate receptor 3.3 ","chrA08","C08_random",62386,64416,"GO:0004965;GO:0007186;GO:0016021","G-protein coupled GABA receptor activity;G-protein coupled receptor signaling pathway;integral component of membrane"
"32",29,33,"Arachidic_acid","BnaC08g46820D","chrA08",31,31,"AT5G32470.1","AT5G32470"," Haem oxygenase-like, multi-helical ","chrA08","C08_random",1063896,1066997,NA,NA
"33",29,33,"Arachidic_acid","BnaCnng28480D","chrA08",29,29,"AT3G13970.1","AT3G13970"," Ubiquitin-like superfamily protein ","chrA08","Cnn_random",26974218,26975566,"GO:0000045;GO:0005737","autophagosome assembly;cytoplasm"
"34",29,33,"Arachidic_acid","BnaCnng29630D","chrA08",31,31,"AT1G26120.1","AT1G26120"," alpha/beta-Hydrolases superfamily protein ","chrA08","Cnn_random",28009484,28012054,"GO:0008152;GO:0016787","metabolic process;hydrolase activity"
"35",29,33,"Arachidic_acid","BnaUnng03440D","chrA08",29,29,"AT4G16980.1","AT4G16980"," arabinogalactan-protein family ","chrA08","Unn_random",4930303,4931104,NA,NA
"36",33,86,"Behenic_acid","BnaA01g00260D","chrA01",46,46,NA,NA,NA,"chrA01","A01",106287,106649,"GO:0004672;GO:0005524;GO:0006468","protein kinase activity;ATP binding;protein phosphorylation"
"37",33,86,"Behenic_acid","BnaA01g05570D","chrA01",33,33,"AT5G38670.1","AT5G38670"," Galactose oxidase/kelch repeat superfamily protein ","chrA01","A01",2603618,2604774,"GO:0005515","protein binding"
"38",33,86,"Behenic_acid","BnaA01g06040D","chrA01",46,46,"AT4G31130.1","AT4G31130"," Protein of unknown function (DUF1218) ","chrA01","A01",2797774,2798989,NA,NA
"39",33,86,"Behenic_acid","BnaA01g06160D","chrA01",47,47,"AT4G30993.2","AT4G30993"," Calcineurin-like metallo-phosphoesterase superfamily protein ","chrA01","A01",2837973,2840109,NA,NA
"40",33,86,"Behenic_acid","BnaA01g06300D","chrA01",37,37,"AT4G30830.1","AT4G30830"," Protein of unknown function, DUF593 ","chrA01","A01",2907306,2908275,NA,NA
"41",33,86,"Behenic_acid","BnaA01g06380D","chrA01",43,43,"AT2G24050.1","AT2G24050"," MIF4G domain-containing protein / MA3 domain-containing protein ","chrA01","A01",2942292,2944903,"GO:0003677;GO:0003723;GO:0005488;GO:0005515;GO:0016070","DNA binding;RNA binding;binding;protein binding;RNA metabolic process"
"42",33,86,"Behenic_acid","BnaA01g06950D","chrA01",46,46,NA,NA,NA,"chrA01","A01",3275109,3276476,NA,NA
"43",33,86,"Behenic_acid","BnaA01g07830D","chrA01",80,80,"AT4G29060.1","AT4G29060"," elongation factor Ts family protein ","chrA01","A01",3707418,3711315,"GO:0003723;GO:0003746;GO:0005515;GO:0005622;GO:0006414","RNA binding;translation elongation factor activity;protein binding;intracellular;translational elongation"
"44",33,86,"Behenic_acid","BnaA01g24620D","chrA01",79,79,NA,NA,NA,"chrA01","A01",16982382,16983754,NA,NA
"45",33,86,"Behenic_acid","BnaA01g34880D","chrA01",79,79,"AT4G29350.1","AT4G29350"," profilin 2 ","chrA01","A01_random",199053,200214,"GO:0003779;GO:0030036","actin binding;actin cytoskeleton organization"
"46",33,86,"Behenic_acid","BnaA02g01470D","chrA01",44,44,"AT5G13190.1","AT5G13190"," CONTAINS InterPro DOMAIN/s: LPS-induced tumor necrosis factor alpha factor (InterPro:IPR006629); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). ","chrA01","A02",681386,682805,NA,NA
"47",33,86,"Behenic_acid","BnaA02g02660D","chrA01",44,44,"AT5G15540.1","AT5G15540"," PHD finger family protein ","chrA01","A02",1183595,1193321,"GO:0005488;GO:0005515;GO:0008270","binding;protein binding;zinc ion binding"
"48",33,86,"Behenic_acid","BnaA02g02690D","chrA01",50,50,"AT5G15600.1","AT5G15600"," SPIRAL1-like4 ","chrA01","A02",1212605,1216973,NA,NA
"49",33,86,"Behenic_acid","BnaA02g03040D","chrA01",50,50,"AT5G16290.1","AT5G16290"," VALINE-TOLERANT 1 ","chrA01","A02",1338109,1342053,"GO:0003984;GO:0009082","acetolactate synthase activity;branched-chain amino acid biosynthetic process"
"50",33,86,"Behenic_acid","BnaA02g03400D","chrA01",44,44,"AT5G17170.1","AT5G17170"," rubredoxin family protein ","chrA01","A02",1520867,1522678,"GO:0005506;GO:0005515","iron ion binding;protein binding"
"51",33,86,"Behenic_acid","BnaA02g03510D","chrA01",65,65,"AT5G17300.1","AT5G17300"," Homeodomain-like superfamily protein ","chrA01","A02",1551186,1553704,"GO:0003677;GO:0003682","DNA binding;chromatin binding"
"52",33,86,"Behenic_acid","BnaA02g03570D","chrA01",41,41,"AT5G17400.1","AT5G17400"," endoplasmic reticulum-adenine nucleotide transporter 1 ","chrA01","A02",1577357,1579094,"GO:0005215;GO:0005743;GO:0006810;GO:0055085","transporter activity;mitochondrial inner membrane;transport;transmembrane transport"
"53",33,86,"Behenic_acid","BnaA02g03760D","chrA01",44,44,"AT5G17870.1","AT5G17870"," plastid-specific 50S ribosomal protein 6 ","chrA01","A02",1728704,1729222,"GO:0003735;GO:0005840;GO:0006412;GO:0009507;GO:0019843","structural constituent of ribosome;ribosome;translation;chloroplast;rRNA binding"
"54",33,86,"Behenic_acid","BnaA02g03850D","chrA01",44,44,"AT5G17990.1","AT5G17990"," tryptophan biosynthesis 1 ","chrA01","A02",1768962,1771681,"GO:0000162;GO:0004048;GO:0008152","tryptophan biosynthetic process;anthranilate phosphoribosyltransferase activity;metabolic process"
"55",33,86,"Behenic_acid","BnaA02g04020D","chrA01",54,54,"AT5G18230.2","AT5G18230"," transcription regulator NOT2/NOT3/NOT5 family protein ","chrA01","A02",1802012,1803059,"GO:0005634","nucleus"
"56",33,86,"Behenic_acid","BnaA02g04250D","chrA01",48,48,"AT5G19500.1","AT5G19500"," Tryptophan/tyrosine permease ","chrA01","A02",1906781,1909456,NA,NA
"57",33,86,"Behenic_acid","BnaA02g04470D","chrA01",64,64,"AT5G19770.1","AT5G19770"," tubulin alpha-3 ","chrA01","A02",2005499,2007456,"GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0006184;GO:0007017;GO:0043234;GO:0051258","GTPase activity;structural constituent of cytoskeleton;GTP binding;microtubule;NA;microtubule-based process;protein complex;protein polymerization"
"58",33,86,"Behenic_acid","BnaA02g04980D","chrA01",50,50,"AT5G40670.1","AT5G40670"," PQ-loop repeat family protein / transmembrane family protein ","chrA01","A02",2202963,2204493,NA,NA
"59",33,86,"Behenic_acid","BnaA02g05160D","chrA01",44,44,"AT5G20950.1","AT5G20950"," Glycosyl hydrolase family protein ","chrA01","A02",2312621,2316585,"GO:0005975","carbohydrate metabolic process"
"60",33,86,"Behenic_acid","BnaA02g06840D","chrA01",52,52,"AT5G59790.1","AT5G59790"," Domain of unknown function (DUF966) ","chrA01","A02",3248327,3250522,NA,NA
"61",33,86,"Behenic_acid","BnaA02g07190D","chrA01",80,80,"AT5G59050.1","AT5G59050"," unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G54000.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). ","chrA01","A02",3416227,3423139,NA,NA
"62",33,86,"Behenic_acid","BnaA02g07940D","chrA01",48,48,"AT5G58020.1","AT5G58020"," unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF602 (InterPro:IPR006735); Has 385 Blast hits to 385 proteins in 189 species: Archae - 0; Bacteria - 0; Metazoa - 153; Fungi - 117; Plants - 50; Viruses - 0; Other Eukaryotes - 65 (source: NCBI BLink). ","chrA01","A02",3756167,3757468,NA,NA
"63",33,86,"Behenic_acid","BnaA02g08440D","chrA01",51,51,"AT5G56940.1","AT5G56940"," Ribosomal protein S16 family protein ","chrA01","A02",4104990,4106634,"GO:0003735;GO:0005622;GO:0005840;GO:0006412","structural constituent of ribosome;intracellular;ribosome;translation"
"64",33,86,"Behenic_acid","BnaA02g18340D","chrA01",42,42,NA,NA,NA,"chrA01","A02",11127240,11128290,NA,NA
"65",33,86,"Behenic_acid","BnaA02g29460D","chrA01",76,76,"AT5G06250.2","AT5G06250"," AP2/B3-like transcriptional factor family protein ","chrA01","A02",21524825,21526087,"GO:0003677","DNA binding"
"66",33,86,"Behenic_acid","BnaA02g33410D","chrA01",68,68,"AT5G62470.2","AT5G62470"," myb domain protein 96 ","chrA01","A02",23963443,23964973,"GO:0003677;GO:0003682","DNA binding;chromatin binding"
"67",33,86,"Behenic_acid","BnaA03g05010D","chrA01",86,86,"AT5G14720.1","AT5G14720"," Protein kinase superfamily protein ","chrA01","A03",2306756,2308376,"GO:0004672;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"68",33,86,"Behenic_acid","BnaA03g17440D","chrA01",46,46,"AT2G37840.1","AT2G37840"," Protein kinase superfamily protein ","chrA01","A03",8190848,8194622,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"69",33,86,"Behenic_acid","BnaA03g18440D","chrA01",50,50,NA,NA,NA,"chrA01","A03",8666513,8668339,NA,NA
"70",33,86,"Behenic_acid","BnaA03g26910D","chrA01",47,47,NA,NA,NA,"chrA01","A03",13287837,13290358,"GO:0005515;GO:0008270","protein binding;zinc ion binding"
"71",33,86,"Behenic_acid","BnaA03g28750D","chrA01",48,48,"AT3G04710.1","AT3G04710"," ankyrin repeat family protein ","chrA01","A03",14002598,14005742,"GO:0005515","protein binding"
"72",33,86,"Behenic_acid","BnaA03g30860D","chrA01",76,76,"AT3G09150.2","AT3G09150"," phytochromobilin:ferredoxin oxidoreductase, chloroplast / phytochromobilin synthase (HY2) ","chrA01","A03",14933455,14936648,"GO:0010024;GO:0050897;GO:0055114","phytochromobilin biosynthetic process;cobalt ion binding;oxidation-reduction process"
"73",33,86,"Behenic_acid","BnaA03g57030D","chrA01",46,46,"AT3G21640.1","AT3G21640"," FKBP-type peptidyl-prolyl cis-trans isomerase family protein ","chrA01","A03_random",970928,972401,"GO:0005515","protein binding"
"74",33,86,"Behenic_acid","BnaA03g57710D","chrA01",50,50,NA,NA,NA,"chrA01","A03_random",1286455,1288281,NA,NA
"75",33,86,"Behenic_acid","BnaA04g08400D","chrA01",39,39,NA,NA,NA,"chrA01","A04",7471767,7474259,NA,NA
"76",33,86,"Behenic_acid","BnaA04g19650D","chrA01",55,55,"AT2G33640.1","AT2G33640"," DHHC-type zinc finger family protein ","chrA01","A04",15384699,15387450,"GO:0008270","zinc ion binding"
"77",33,86,"Behenic_acid","BnaA04g21050D","chrA01",47,47,NA,NA,NA,"chrA01","A04",16075621,16082586,"GO:0019538","protein metabolic process"
"78",33,86,"Behenic_acid","BnaA05g13530D","chrA01",39,39,"AT1G55870.1","AT1G55870"," Polynucleotidyl transferase, ribonuclease H-like superfamily protein ","chrA01","A05",8225226,8228172,"GO:0003676;GO:0046983","nucleic acid binding;protein dimerization activity"
"79",33,86,"Behenic_acid","BnaA05g19950D","chrA01",50,50,"AT3G21100.2","AT3G21100"," RNA-binding (RRM/RBD/RNP motifs) family protein ","chrA01","A05",15341111,15343639,"GO:0000166;GO:0003676","nucleotide binding;nucleic acid binding"
"80",33,86,"Behenic_acid","BnaA06g00150D","chrA01",80,80,"AT1G55840.1","AT1G55840"," Sec14p-like phosphatidylinositol transfer family protein ","chrA01","A06",69136,71663,NA,NA
"81",33,86,"Behenic_acid","BnaA06g01340D","chrA01",80,80,"AT1G54080.2","AT1G54080"," oligouridylate-binding protein 1A ","chrA01","A06",839841,843048,"GO:0000166;GO:0003676","nucleotide binding;nucleic acid binding"
"82",33,86,"Behenic_acid","BnaA06g03380D","chrA01",76,76,NA,NA,NA,"chrA01","A06",2063277,2065363,NA,NA
"83",33,86,"Behenic_acid","BnaA06g03690D","chrA01",47,47,"AT3G17970.1","AT3G17970"," translocon at the outer membrane of chloroplasts 64-III ","chrA01","A06",2256093,2259148,"GO:0005515","protein binding"
"84",33,86,"Behenic_acid","BnaA06g13570D","chrA01",60,60,"AT1G19440.1","AT1G19440"," 3-ketoacyl-CoA synthase 4 ","chrA01","A06",7109926,7111960,"GO:0003824;GO:0006633;GO:0008152;GO:0016020","catalytic activity;fatty acid biosynthetic process;metabolic process;membrane"
"85",33,86,"Behenic_acid","BnaA06g23890D","chrA01",67,67,"AT5G64960.1","AT5G64960"," cyclin dependent kinase group C2 ","chrA01","A06",16527587,16530906,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"86",33,86,"Behenic_acid","BnaA06g36860D","chrA01",83,83,"AT5G43140.1","AT5G43140"," Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein ","chrA01","A06",24074502,24075798,"GO:0016021","integral component of membrane"
"87",33,86,"Behenic_acid","BnaA07g04690D","chrA01",50,50,"AT5G40670.1","AT5G40670"," PQ-loop repeat family protein / transmembrane family protein ","chrA01","A07",5083171,5084404,NA,NA
"88",33,86,"Behenic_acid","BnaA07g36790D","chrA01",41,41,"AT1G24490.1","AT1G24490"," OxaA/YidC-like membrane insertion protein ","chrA01","A07_random",678881,682032,"GO:0016021;GO:0051205","integral component of membrane;protein insertion into membrane"
"89",33,86,"Behenic_acid","BnaA08g01010D","chrA01",50,50,"AT1G53750.1","AT1G53750"," regulatory particle triple-A 1A ","chrA01","A08",730141,732728,"GO:0000166;GO:0005524;GO:0005737;GO:0016787;GO:0017111;GO:0030163","nucleotide binding;ATP binding;cytoplasm;hydrolase activity;nucleoside-triphosphatase activity;protein catabolic process"
"90",33,86,"Behenic_acid","BnaA08g01020D","chrA01",50,50,"AT1G53730.2","AT1G53730"," STRUBBELIG-receptor family 6 ","chrA01","A08",732895,736732,"GO:0004672;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"91",33,86,"Behenic_acid","BnaA08g03260D","chrA01",50,50,"AT1G48410.2","AT1G48410"," Stabilizer of iron transporter SufD / Polynucleotidyl transferase ","chrA01","A08",2681072,2686918,"GO:0003676;GO:0005515","nucleic acid binding;protein binding"
"92",33,86,"Behenic_acid","BnaA08g07690D","chrA01",41,41,"AT1G31800.1","AT1G31800"," cytochrome P450, family 97, subfamily A, polypeptide 3 ","chrA01","A08",7603179,7608170,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"93",33,86,"Behenic_acid","BnaA08g26720D","chrA01",76,76,"AT1G08910.1","AT1G08910"," zinc ion binding;zinc ion binding ","chrA01","A08",18006715,18011036,"GO:0008270","zinc ion binding"
"94",33,86,"Behenic_acid","BnaA09g02290D","chrA01",79,79,"AT3G28415.1","AT3G28415"," ABC transporter family protein ","chrA01","A09",1135914,1138045,"GO:0005524;GO:0006810;GO:0016021;GO:0055085","ATP binding;transport;integral component of membrane;transmembrane transport"
"95",33,86,"Behenic_acid","BnaA09g05900D","chrA01",43,43,"AT5G62165.1","AT5G62165"," AGAMOUS-like 42 ","chrA01","A09",2877003,2880821,"GO:0003677;GO:0003700;GO:0005634;GO:0046983","DNA binding;transcription factor activity, sequence-specific DNA binding;nucleus;protein dimerization activity"
"96",33,86,"Behenic_acid","BnaA09g22890D","chrA01",48,48,NA,NA,NA,"chrA01","A09",15471345,15476080,NA,NA
"97",33,86,"Behenic_acid","BnaA09g44110D","chrA01",67,67,"AT2G19530.1","AT2G19530"," unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G55160.2); Has 461 Blast hits to 346 proteins in 80 species: Archae - 0; Bacteria - 16; Metazoa - 89; Fungi - 28; Plants - 57; Viruses - 0; Other Eukaryotes - 271 (source: NCBI BLink). ","chrA01","A09",30343148,30344405,NA,NA
"98",33,86,"Behenic_acid","BnaA10g08290D","chrA01",47,47,NA,NA,NA,"chrA01","A10",7081555,7082184,"GO:0005622;GO:0008270","intracellular;zinc ion binding"
"99",33,86,"Behenic_acid","BnaA10g21420D","chrA01",52,52,"AT5G11000.1","AT5G11000"," Plant protein of unknown function (DUF868) ","chrA01","A10",14736333,14737913,NA,NA
"100",33,86,"Behenic_acid","BnaAnng08530D","chrA01",67,67,"AT5G18800.1","AT5G18800"," Cox19-like CHCH family protein ","chrA01","Ann_random",9039535,9040713,NA,NA
"101",33,86,"Behenic_acid","BnaAnng08700D","chrA01",67,67,"AT5G19140.1","AT5G19140"," Aluminium induced protein with YGL and LRDR motifs ","chrA01","Ann_random",9142637,9145359,NA,NA
"102",33,86,"Behenic_acid","BnaAnng08720D","chrA01",64,64,"AT5G19151.1","AT5G19151"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). ","chrA01","Ann_random",9147564,9148414,NA,NA
"103",33,86,"Behenic_acid","BnaAnng19160D","chrA01",47,47,NA,NA,NA,"chrA01","Ann_random",20523048,20526096,NA,NA
"104",33,86,"Behenic_acid","BnaAnng21230D","chrA01",83,83,"AT4G17540.1","AT4G17540"," unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). ","chrA01","Ann_random",23582948,23584697,NA,NA
"105",33,86,"Behenic_acid","BnaAnng22560D","chrA01",67,67,"AT5G16390.1","AT5G16390"," chloroplastic acetylcoenzyme A carboxylase 1 ","chrA01","Ann_random",25345927,25348076,"GO:0003989;GO:0006633;GO:0009317","acetyl-CoA carboxylase activity;fatty acid biosynthetic process;acetyl-CoA carboxylase complex"
"106",33,86,"Behenic_acid","BnaAnng23970D","chrA01",44,44,NA,NA,NA,"chrA01","Ann_random",27504396,27510598,NA,NA
"107",33,86,"Behenic_acid","BnaAnng27190D","chrA01",48,48,"AT5G20350.1","AT5G20350"," Ankyrin repeat family protein with DHHC zinc finger domain ","chrA01","Ann_random",31117051,31119500,"GO:0008270","zinc ion binding"
"108",33,86,"Behenic_acid","BnaAnng29550D","chrA01",48,48,"AT1G13080.1","AT1G13080"," cytochrome P450, family 71, subfamily B, polypeptide 2 ","chrA01","Ann_random",33767693,33769950,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"109",33,86,"Behenic_acid","BnaAnng29900D","chrA01",43,43,"AT2G24050.1","AT2G24050"," MIF4G domain-containing protein / MA3 domain-containing protein ","chrA01","Ann_random",34084516,34086503,"GO:0003677;GO:0003723;GO:0005488;GO:0005515;GO:0016070","DNA binding;RNA binding;binding;protein binding;RNA metabolic process"
"110",33,86,"Behenic_acid","BnaAnng30640D","chrA01",46,46,"AT4G30110.1","AT4G30110"," heavy metal atpase 2 ","chrA01","Ann_random",34991740,34994672,"GO:0000166;GO:0006812;GO:0016021;GO:0019829;GO:0046872","nucleotide binding;cation transport;integral component of membrane;cation-transporting ATPase activity;metal ion binding"
"111",33,86,"Behenic_acid","BnaAnng32430D","chrA01",47,47,NA,NA,NA,"chrA01","Ann_random",37058374,37060679,NA,NA
"112",33,86,"Behenic_acid","BnaAnng32940D","chrA01",50,50,NA,NA,NA,"chrA01","Ann_random",37601295,37603202,NA,NA
"113",33,86,"Behenic_acid","BnaAnng37190D","chrA01",86,86,NA,NA,NA,"chrA01","Ann_random",42135665,42136191,NA,NA
