"","trait.x","gene_ID","eQTL_chr","pos","eQTL_start","eQTL_end","min_eQTL_LOD","max_eQTL_LOD","gene_CHROM","gene_start","gene_end","trait.y","chrom","subject","AGI","At_symbol","model","B.napus_GO_term","GO_des","QTL_start","QTL_end","eQTL_genetic_start","eQTL_genetic_end","QTL_genetic_start","QTL_genetic_end"
"24","BnaA01g04600D","BnaA01g04600D","chrA01",44.43447948,1788178,2209595,5.05723115408758,6.17782085175272,"chrA01",2147740,2153117,"Behenic_acid","A01","AT4G32410.1","AT4G32410"," cellulose synthase 1 ","scanone","GO:0016020;GO:0016760;GO:0030244","membrane;cellulose synthase (UDP-forming) activity;cellulose biosynthetic process",1665566,5352789,44.43447948,44.43447948,33.85324508,86.54685233
"25","BnaA01g04610D","BnaA01g04610D","chrA01",47.79983388,2063293,2404407,12.7039009752218,14.1714604358625,"chrA01",2153173,2155182,"Behenic_acid","A01","AT4G32400.1","AT4G32400"," Mitochondrial substrate carrier family protein ","scanone","GO:0055085","transmembrane transport",1665566,5352789,47.79983388,47.79983388,33.85324508,86.54685233
"26","BnaA01g04620D","BnaA01g04620D","chrA01",45.38589393,2154659,2404407,17.8735098492227,20.0978921075296,"chrA01",2156044,2157550,"Behenic_acid","A01","AT4G32390.1","AT4G32390"," Nucleotide-sugar transporter family protein ","scanone","GO:0016020","membrane",1665566,5352789,45.38589393,45.38589393,33.85324508,86.54685233
"27","BnaA01g04630D","BnaA01g04630D","chrA01",44,2154659,2170704,28.5601918443207,31.3283959382222,"chrA01",2158293,2161692,"Behenic_acid","A01","AT4G32370.1","AT4G32370"," Pectin lyase-like superfamily protein ","scanone","GO:0004650;GO:0005975","polygalacturonase activity;carbohydrate metabolic process",1665566,5352789,44,44,33.85324508,86.54685233
"28","BnaA01g04650D","BnaA01g04650D","chrA01",50.16055788,2062570,4318350,5.36736238335524,8.78267218777621,"chrA01",2166453,2168298,"Behenic_acid","A01","AT4G32340.1","AT4G32340"," Tetratricopeptide repeat (TPR)-like superfamily protein ","scanone","GO:0005515","protein binding",1665566,5352789,50.16055788,50.16055788,33.85324508,86.54685233
"29","BnaA01g04660D","BnaA01g04660D","chrA01",42.10532701,1788178,4318350,2.42676910813982,5.90790565760983,"chrA01",2168474,2171582,"Behenic_acid","A01","AT4G32330.1","AT4G32330"," TPX2 (targeting protein for Xklp2) protein family ","scanone",NA,NA,1665566,5352789,42.10532701,42.10532701,33.85324508,86.54685233
"30","BnaA01g04670D","BnaA01g04670D","chrA01",45.38589393,2154659,2368420,38.6389161654219,43.4594342161097,"chrA01",2181108,2184205,"Behenic_acid","A01","AT4G32300.1","AT4G32300"," S-domain-2 5 ","scanone","GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation",1665566,5352789,45.38589393,45.38589393,33.85324508,86.54685233
"31","BnaA01g04700D","BnaA01g04700D","chrA01",46,2252662,2404407,54.205978369857,65.5790720975952,"chrA01",2195320,2197860,"Behenic_acid","A01","AT4G32285.1","AT4G32285"," ENTH/ANTH/VHS superfamily protein ","scanone","GO:0005543;GO:0005545;GO:0030118;GO:0030276;GO:0048268","phospholipid binding;1-phosphatidylinositol binding;clathrin coat;clathrin binding;clathrin coat assembly",1665566,5352789,46,46,33.85324508,86.54685233
"32","BnaA01g04720D","BnaA01g04720D","chrA01",47.79983388,2062570,2404407,8.40749553388311,10.831220430953,"chrA01",2207712,2208960,"Behenic_acid","A01","AT4G32270.1","AT4G32270"," Ubiquitin-like superfamily protein ","scanone",NA,NA,1665566,5352789,47.79983388,47.79983388,33.85324508,86.54685233
"33","BnaA01g04730D","BnaA01g04730D","chrA01",50,2062570,2197010,47.2282574621215,52.6636393956311,"chrA01",2209066,2211828,"Behenic_acid","A01","AT4G32250.1","AT4G32250"," Protein kinase superfamily protein ","scanone","GO:0004672;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation",1665566,5352789,50,50,33.85324508,86.54685233
"34","BnaA01g04740D","BnaA01g04740D","chrA01",61,2209595,4025865,7.07375752000559,9.19086260904681,"chrA01",2212606,2213720,"Behenic_acid","A01","AT4G32260.1","AT4G32260"," ATPase, F0 complex, subunit B/B', bacterial/chloroplast ","scanone","GO:0015078;GO:0015986","hydrogen ion transmembrane transporter activity;ATP synthesis coupled proton transport",1665566,5352789,61,61,33.85324508,86.54685233
"35","BnaA01g04750D","BnaA01g04750D","chrA01",50,2170704,2368420,63.4010932899541,77.5590039492661,"chrA01",2214311,2217217,"Behenic_acid","A01",NA,NA,NA,"scanone",NA,NA,1665566,5352789,50,50,33.85324508,86.54685233
"36","BnaA01g04760D","BnaA01g04760D","chrA01",45.38589393,2170704,2224464,31.3297793777698,32.7134872699686,"chrA01",2219583,2225096,"Behenic_acid","A01","AT4G32180.1","AT4G32180"," pantothenate kinase 2 ","scanone","GO:0004594;GO:0005524;GO:0015937","pantothenate kinase activity;ATP binding;coenzyme A biosynthetic process",1665566,5352789,45.38589393,45.38589393,33.85324508,86.54685233
"37","BnaA01g04770D","BnaA01g04770D","chrA01",50,2062570,2209595,6.79963850590994,8.39221401426867,"chrA01",2225165,2229514,"Behenic_acid","A01","AT4G32160.1","AT4G32160"," Phox (PX) domain-containing protein ","scanone","GO:0005515;GO:0007154;GO:0035091","protein binding;cell communication;phosphatidylinositol binding",1665566,5352789,50,50,33.85324508,86.54685233
"38","BnaA01g04780D","BnaA01g04780D","chrA01",48.83253179,1270769,2368420,4.92114235095084,7.03147472812577,"chrA01",2231491,2232692,"Behenic_acid","A01","AT4G32150.1","AT4G32150"," vesicle-associated membrane protein 711 ","scanone","GO:0006810;GO:0016021;GO:0016192","transport;integral component of membrane;vesicle-mediated transport",1665566,5352789,48.83253179,48.83253179,33.85324508,86.54685233
"39","BnaA01g04790D","BnaA01g04790D","chrA01",49,2062522,2197010,11.4830290477744,13.5267975508731,"chrA01",2233543,2235445,"Behenic_acid","A01","AT4G32130.1","AT4G32130"," Protein of unknown function (DUF2012) ","scanone","GO:0030246","carbohydrate binding",1665566,5352789,49,49,33.85324508,86.54685233
"40","BnaA01g04800D","BnaA01g04800D","chrA01",49,2170704,2368420,46.3100373256054,59.0235171873048,"chrA01",2236319,2238836,"Behenic_acid","A01","AT4G32120.1","AT4G32120"," Galactosyltransferase family protein ","scanone","GO:0006486;GO:0008378;GO:0016020","protein glycosylation;galactosyltransferase activity;membrane",1665566,5352789,49,49,33.85324508,86.54685233
"41","BnaA01g04840D","BnaA01g04840D","chrA01",49,1671382,2170704,10.7765662802994,12.9497825652453,"chrA01",2247440,2249693,"Behenic_acid","A01","AT4G32070.1","AT4G32070"," Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein ","scanone","GO:0005515","protein binding",1665566,5352789,49,49,33.85324508,86.54685233
"42","BnaA01g04850D","BnaA01g04850D","chrA01",49,2170704,2248131,37.1234091604673,38.245017577251,"chrA01",2250477,2253006,"Behenic_acid","A01","AT4G32060.1","AT4G32060"," calcium-binding EF hand family protein ","scanone","GO:0005509","calcium ion binding",1665566,5352789,49,49,33.85324508,86.54685233
"43","BnaA01g04860D","BnaA01g04860D","chrA01",40,1788178,4318350,2.89611615064275,5.62712840763727,"chrA01",2253438,2257899,"Behenic_acid","A01","AT4G32050.1","AT4G32050"," neurochondrin family protein ","scanone","GO:0005488","binding",1665566,5352789,40,40,33.85324508,86.54685233
"44","BnaA01g04870D","BnaA01g04870D","chrA01",44.83744444,2063293,4318350,12.7013431554768,18.1453456650075,"chrA01",2258376,2260668,"Behenic_acid","A01","AT4G32040.1","AT4G32040"," KNOTTED1-like homeobox gene 5 ","scanone","GO:0003677;GO:0003700;GO:0005634;GO:0043565","DNA binding;transcription factor activity, sequence-specific DNA binding;nucleus;sequence-specific DNA binding",1665566,5352789,44.83744444,44.83744444,33.85324508,86.54685233
"45","BnaA01g04910D","BnaA01g04910D","chrA01",44.43447948,2154659,2368420,13.9338093415992,15.5454897128692,"chrA01",2276046,2278899,"Behenic_acid","A01","AT4G31990.3","AT4G31990"," aspartate aminotransferase 5 ","scanone","GO:0003824;GO:0006520;GO:0008483;GO:0009058;GO:0030170","catalytic activity;cellular amino acid metabolic process;transaminase activity;biosynthetic process;pyridoxal phosphate binding",1665566,5352789,44.43447948,44.43447948,33.85324508,86.54685233
"46","BnaA01g04930D","BnaA01g04930D","chrA01",39,1671382,6975139,4.80676520157631,8.08805118368812,"chrA01",2282309,2283744,"Behenic_acid","A01","AT4G31980.1","AT4G31980"," unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF247, plant (InterPro:IPR004158), Protein of unknown function DUF862, eukaryotic (InterPro:IPR008580); BEST Arabidopsis thaliana protein match is: Plant protein of unknown function (DUF247) (TAIR:AT5G11290.1); Has 1967 Blast hits to 1844 proteins in 183 species: Archae - 0; Bacteria - 6; Metazoa - 223; Fungi - 83; Plants - 1477; Viruses - 0; Other Eukaryotes - 178 (source: NCBI BLink). ","scanone",NA,NA,1665566,5352789,39,39,33.85324508,86.54685233
"47","BnaA01g05040D","BnaA01g05040D","chrA01",43,2062570,2209595,10.555835447011,12.4247667593438,"chrA01",2365026,2368895,"Behenic_acid","A01","AT4G31820.1","AT4G31820"," Phototropic-responsive NPH3 family protein ","scanone","GO:0005515","protein binding",1665566,5352789,43,43,33.85324508,86.54685233
"48","BnaA01g05060D","BnaA01g05060D","chrA01",46.27096307,1572757,2786808,5.22487431387322,6.75930718646244,"chrA01",2371397,2372853,"Behenic_acid","A01",NA,NA,NA,"scanone","GO:0003700;GO:0043565","transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding",1665566,5352789,46.27096307,46.27096307,33.85324508,86.54685233
"49","BnaA01g05070D","BnaA01g05070D","chrA01",47,2404407,2788985,62.1144831586422,96.0331456931647,"chrA01",2377090,2378879,"Behenic_acid","A01","AT4G31790.1","AT4G31790"," Tetrapyrrole (Corrin/Porphyrin) Methylases ","scanone","GO:0004164;GO:0008152;GO:0008168;GO:0017183","diphthine synthase activity;metabolic process;methyltransferase activity;peptidyl-diphthamide biosynthetic process from peptidyl-histidine",1665566,5352789,47,47,33.85324508,86.54685233
"50","BnaA01g05080D","BnaA01g05080D","chrA01",53,2154659,4318350,4.2431012513928,12.3857153702885,"chrA01",2379303,2381869,"Behenic_acid","A01","AT4G31780.2","AT4G31780"," monogalactosyl diacylglycerol synthase 1 ","scanone","GO:0005975;GO:0009247;GO:0030246;GO:0030259","carbohydrate metabolic process;glycolipid biosynthetic process;carbohydrate binding;lipid glycosylation",1665566,5352789,53,53,33.85324508,86.54685233
"51","BnaA01g05090D","BnaA01g05090D","chrA01",71,1043044,9953372,2.45210320755959,4.22726449239091,"chrA01",2385599,2388187,"Behenic_acid","A01","AT4G31750.1","AT4G31750"," HOPW1-1-interacting 2 ","scanone","GO:0003824;GO:0004722;GO:0006470","catalytic activity;protein serine/threonine phosphatase activity;protein dephosphorylation",1665566,5352789,71,71,33.85324508,86.54685233
"52","BnaA01g05100D","BnaA01g05100D","chrA01",47.79983388,2154659,2404407,20.9558693468889,23.7705630194481,"chrA01",2388264,2390272,"Behenic_acid","A01","AT2G24765.1","AT2G24765"," ADP-ribosylation factor 3 ","scanone","GO:0005525;GO:0005622;GO:0006886;GO:0007264","GTP binding;intracellular;intracellular protein transport;small GTPase mediated signal transduction",1665566,5352789,47.79983388,47.79983388,33.85324508,86.54685233
"53","BnaA01g05220D","BnaA01g05220D","chrA01",20,487862,2539244,11.9249824988691,14.8040950803956,"chrA01",2440911,2443961,"Behenic_acid","A01","AT4G38890.1","AT4G38890"," FMN-linked oxidoreductases superfamily protein ","scanone","GO:0003676;GO:0003824;GO:0008033;GO:0008270;GO:0017150;GO:0050660;GO:0055114","nucleic acid binding;catalytic activity;tRNA processing;zinc ion binding;tRNA dihydrouridine synthase activity;flavin adenine dinucleotide binding;oxidation-reduction process",1665566,5352789,20,20,33.85324508,86.54685233
"54","BnaA01g05240D","BnaA01g05240D","chrA01",19,487945,2539244,27.4842800540799,32.1656167714451,"chrA01",2447624,2452258,"Behenic_acid","A01","AT4G38950.1","AT4G38950"," ATP binding microtubule motor family protein ","scanone","GO:0003777;GO:0005524;GO:0005875;GO:0007018","microtubule motor activity;ATP binding;microtubule associated complex;microtubule-based movement",1665566,5352789,19,19,33.85324508,86.54685233
"55","BnaA01g05260D","BnaA01g05260D","chrA01",26.68219909,684630,2063293,3.62618428382128,5.80854282334169,"chrA01",2459392,2461698,"Behenic_acid","A01","AT4G39000.1","AT4G39000"," glycosyl hydrolase 9B17 ","scanone","GO:0003824;GO:0005975","catalytic activity;carbohydrate metabolic process",1665566,5352789,26.68219909,26.68219909,33.85324508,86.54685233
"56","BnaA01g05270D","BnaA01g05270D","chrA01",18.30084651,496502,2788985,4.63956353372489,7.14710662562214,"chrA01",2463323,2466286,"Behenic_acid","A01","AT4G39010.1","AT4G39010"," glycosyl hydrolase 9B18 ","scanone","GO:0003824;GO:0005975","catalytic activity;carbohydrate metabolic process",1665566,5352789,18.30084651,18.30084651,33.85324508,86.54685233
"57","BnaA01g05300D","BnaA01g05300D","chrA01",19.31345016,486386,2593871,5.1113079712074,8.24871941165327,"chrA01",2494980,2499881,"Behenic_acid","A01","AT4G39080.1","AT4G39080"," vacuolar proton ATPase A3 ","scanone","GO:0015078;GO:0015991","hydrogen ion transmembrane transporter activity;ATP hydrolysis coupled proton transport",1665566,5352789,19.31345016,19.31345016,33.85324508,86.54685233
"58","BnaA01g05320D","BnaA01g05320D","chrA01",19,487862,2539244,28.7803224248012,31.3264092186562,"chrA01",2501787,2503356,"Behenic_acid","A01","AT4G39090.1","AT4G39090"," Papain family cysteine protease ","scanone","GO:0006508;GO:0008234","proteolysis;cysteine-type peptidase activity",1665566,5352789,19,19,33.85324508,86.54685233
"59","BnaA01g05390D","BnaA01g05390D","chrA01",19.12322673,684630,2645645,6.17439701211225,8.71859668523176,"chrA01",2517652,2518544,"Behenic_acid","A01","AT4G39200.1","AT4G39200"," Ribosomal protein S25 family protein ","scanone",NA,NA,1665566,5352789,19.12322673,19.12322673,33.85324508,86.54685233
"60","BnaA01g05540D","BnaA01g05540D","chrA01",21.46629622,487945,2539244,15.1729842592754,16.7519370952818,"chrA01",2596918,2599725,"Behenic_acid","A01","AT4G39540.3","AT4G39540"," shikimate kinase 2 ","scanone","GO:0004765;GO:0005524","shikimate kinase activity;ATP binding",1665566,5352789,21.46629622,21.46629622,33.85324508,86.54685233
"61","BnaA01g05550D","BnaA01g05550D","chrA01",21.87776813,486386,2539244,13.2375781878865,15.5512511583171,"chrA01",2599782,2600841,"Behenic_acid","A01","AT4G25710.1","AT4G25710"," Galactose oxidase/kelch repeat superfamily protein ","scanone","GO:0005515","protein binding",1665566,5352789,21.87776813,21.87776813,33.85324508,86.54685233
"62","BnaA01g05570D","BnaA01g05570D","chrA01",33.53959903,1665575,2539244,4.82267794323535,6.78724171111599,"chrA01",2603618,2604774,"Behenic_acid","A01","AT5G38670.1","AT5G38670"," Galactose oxidase/kelch repeat superfamily protein ","scanone","GO:0005515","protein binding",1665566,5352789,33.53959903,33.53959903,33.85324508,86.54685233
"63","BnaA01g05620D","BnaA01g05620D","chrA01",19.31345016,77632,2593871,3.87047068057363,6.02072701703213,"chrA01",2625123,2627336,"Behenic_acid","A01","AT4G39620.1","AT4G39620"," Tetratricopeptide repeat (TPR)-like superfamily protein ","scanone",NA,NA,1665566,5352789,19.31345016,19.31345016,33.85324508,86.54685233
"64","BnaA01g05670D","BnaA01g05670D","chrA01",19,487862,2539244,26.8069647705861,29.518375529108,"chrA01",2638787,2641360,"Behenic_acid","A01","AT4G39660.1","AT4G39660"," alanine:glyoxylate aminotransferase 2 ","scanone","GO:0003824;GO:0008483;GO:0030170","catalytic activity;transaminase activity;pyridoxal phosphate binding",1665566,5352789,19,19,33.85324508,86.54685233
"65","BnaA01g05690D","BnaA01g05690D","chrA01",19.12322673,77632,2645645,14.8078833924326,16.7410499429727,"chrA01",2645151,2647954,"Behenic_acid","A01","AT4G39680.1","AT4G39680"," SAP domain-containing protein ","scanone","GO:0003676","nucleic acid binding",1665566,5352789,19.12322673,19.12322673,33.85324508,86.54685233
"66","BnaA01g05770D","BnaA01g05770D","chrA01",22.78831122,639732,2539244,10.5354175153193,12.2690767443852,"chrA01",2698248,2701184,"Behenic_acid","A01","AT4G39790.1","AT4G39790"," Protein of unknown function (DUF630 and DUF632) ","scanone",NA,NA,1665566,5352789,22.78831122,22.78831122,33.85324508,86.54685233
"67","BnaA01g06000D","BnaA01g06000D","chrA01",44.83744444,2154659,4318350,4.90308513628968,8.9739597940235,"chrA01",2781735,2784360,"Behenic_acid","A01","AT4G31200.2","AT4G31200"," SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein ","scanone","GO:0003723;GO:0006396","RNA binding;RNA processing",1665566,5352789,44.83744444,44.83744444,33.85324508,86.54685233
"68","BnaA01g06010D","BnaA01g06010D","chrA01",46,2063293,2197010,19.6646420361632,21.8165127052559,"chrA01",2784477,2787196,"Behenic_acid","A01","AT4G31180.1","AT4G31180"," Class II aminoacyl-tRNA and biotin synthetases superfamily protein ","scanone","GO:0000166;GO:0003676;GO:0004812;GO:0004815;GO:0005524;GO:0005737;GO:0006418;GO:0006422","nucleotide binding;nucleic acid binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;aspartyl-tRNA aminoacylation",1665566,5352789,46,46,33.85324508,86.54685233
"69","BnaA01g06040D","BnaA01g06040D","chrA01",46,2252662,2788985,37.1237224047196,41.4930409380769,"chrA01",2797774,2798989,"Behenic_acid","A01","AT4G31130.1","AT4G31130"," Protein of unknown function (DUF1218) ","scanone",NA,NA,1665566,5352789,46,46,33.85324508,86.54685233
"70","BnaA01g06130D","BnaA01g06130D","chrA01",46,2154659,2197010,10.7046123960334,12.2207307819227,"chrA01",2832720,2834038,"Behenic_acid","A01","AT4G30996.1","AT4G30996"," Protein of unknown function (DUF1068) ","scanone",NA,NA,1665566,5352789,46,46,33.85324508,86.54685233
"71","BnaA01g06160D","BnaA01g06160D","chrA01",47,2252662,2368420,15.8783144208055,17.667031410866,"chrA01",2837973,2840109,"Behenic_acid","A01","AT4G30993.2","AT4G30993"," Calcineurin-like metallo-phosphoesterase superfamily protein ","scanone",NA,NA,1665566,5352789,47,47,33.85324508,86.54685233
